text,label
자신을 한 문장으로 표현해보세요.,일반
이 회사에 지원하게 된 동기는 무엇인가요?,일반
"가장 기억에 남는 프로젝트는 무엇이었고, 본인의 역할은 무엇이었나요?",일반
입사 후 어떤 목표를 가지고 있나요?,일반
5년 후 본인의 모습을 어떻게 그리고 있나요?,일반
자기소개를 해주세요.,일반
가장 열정적으로 임했던 경험은 무엇인가요?,일반
지원한 직무에서 가장 중요한 역량은 무엇이라 생각하나요?,일반
학창 시절 가장 기억에 남는 활동은 무엇인가요?,일반
지금까지의 커리어에서 가장 자랑스러운 성과는 무엇인가요?,일반
직장 내에서 어떤 역할을 선호하시나요?,일반
새로운 환경에 적응하는 본인만의 방법이 있나요?,일반
입사 후 어떤 방식으로 성장하고 싶나요?,일반
최근 읽은 책 중 인상 깊은 내용을 소개해주세요.,일반
당신이 생각하는 이상적인 직장 문화는 무엇인가요?,일반
출퇴근 거리나 환경이 직무 선택에 영향을 미치나요?,일반
개인의 삶과 직장 생활의 균형을 어떻게 맞추시나요?,일반
일과 삶 중 어느 쪽을 더 중요하게 생각하나요?,일반
본인을 잘 설명할 수 있는 키워드 3가지를 말해주세요.,일반
가장 최근에 도전했던 일이 있다면 무엇인가요?,일반
왜 수많은 지원자 중에서 당신을 뽑아야 하나요?,압박
"본인의 가장 큰 단점은 무엇이며, 그것이 업무에 어떤 영향을 줄까요?",압박
지원한 분야에 대해 당신이 부족하다고 생각하는 점은?,압박
"실패한 경험을 말해보고, 그로부터 무엇을 배웠나요?",압박
이전 회사에서 왜 퇴사했나요?,압박
지금까지의 커리어 중 가장 부끄러운 순간은 언제였나요?,압박
팀 프로젝트에서 갈등이 발생했을 때 본인의 잘못도 있었나요?,압박
지금까지의 선택 중 후회되는 것이 있다면 무엇인가요?,압박
본인의 성격이 팀워크에 부정적인 영향을 줄 수 있다면?,압박
지원한 직무가 본인과 맞지 않는다면 어떻게 하시겠습니까?,압박
다른 지원자보다 당신이 뛰어나다고 생각하는 근거는 무엇인가요?,압박
예상치 못한 일로 마감 기한을 지키지 못하면 어떻게 하시겠습니까?,압박
스트레스를 받을 때 실수가 잦아지나요?,압박
비판을 받을 때 어떻게 반응하나요?,압박
회사의 결정이 개인의 신념과 다를 때 어떻게 하시겠습니까?,압박
이 직무 외에 할 수 있는 다른 분야가 있나요?,압박
연봉보다 일이 중요한 이유는 무엇인가요?,압박
자신의 실수로 큰 손실이 발생했다면 어떻게 책임지시겠습니까?,압박
입사 후 바로 실적이 나지 않는다면 어떻게 설득하시겠습니까?,압박
회사보다 개인 커리어가 더 중요하지 않나요?,압박
"동료와 갈등이 있었던 경험이 있다면, 어떻게 해결했나요?",인성
팀워크를 중요하게 생각하는 이유는 무엇인가요?,인성
성격의 장단점에 대해 말씀해주세요.,인성
다른 사람과 협업할 때 가장 중요하게 여기는 가치는 무엇인가요?,인성
스트레스를 받을 때 어떻게 해소하나요?,인성
리더십을 발휘했던 경험이 있다면 소개해주세요.,인성
당신의 성격을 잘 보여주는 에피소드를 말해주세요.,인성
가장 친한 친구는 당신을 어떤 사람이라고 표현하나요?,인성
평소 문제를 어떻게 접근하고 해결하는 편인가요?,인성
새로운 사람들과의 만남에서 가장 중요하게 생각하는 것은?,인성
가장 가까운 가족 구성원과의 갈등을 어떻게 풀었나요?,인성
감정 조절이 필요했던 상황에서 본인의 대처 방식은?,인성
다른 사람의 입장에서 생각해본 경험이 있다면?,인성
주변 사람들이 당신에게 자주 해주는 말은 무엇인가요?,인성
"스스로 존경하는 인물이 있다면, 그 이유는?",인성
낯선 환경에 적응하는 본인의 태도는 어떤가요?,인성
평소 자신의 감정을 어떻게 표현하나요?,인성
본인이 생각하는 '성장'이란 무엇인가요?,인성
스트레스 상황에서도 침착함을 유지한 경험이 있다면?,인성
실수를 인정하고 책임진 경험을 공유해주세요.,인성
